	Type	Count
0	861	98
1	8	29
2	2	28
3	7	27
4	3	23
5	5	23
6	6	21
7	4	19
8	858	12
9	9	12
10	1	8
11	11	7
12	0	7
13	10	7
14	780	5
15	785	3
16	13	2
17	1125	2
18	420	2
19	14	2
20	25	2
21	831	2
22	474	1
23	2007	1
24	825	1
25	1061	1
26	822	1
27	853	1
28	732	1
29	1134	1
30	678	1
31	20	1
32	1167	1
33	660	1
34	1725	1
35	642	1
36	384	1
37	22	1
38	753	1
39	26	1
40	1305	1
41	1158	1
42	15	1
43	23	1
44	12	1
45	24	1
46	27	1
47	1920	1
48	1644	1
49	764	1
50	31	1
51	729	1
52	372	1
53	1758	1
54	35	1
55	28	1
56	17	1
57	39	1
58	843	1
