	Type	Count
0	311	23
1	312	14
2	310	13
3	437	12
4	7	12
5	439	10
6	3	10
7	436	9
8	438	9
9	6	8
10	5	8
11	9	8
12	8	7
13	440	6
14	474	6
15	470	6
16	2	5
17	309	5
18	473	5
19	10	5
20	314	5
21	472	5
22	471	4
23	313	4
24	4	4
25	435	4
26	453	3
27	462	3
28	455	3
29	476	3
30	608	3
31	499	3
32	454	3
33	316	2
34	434	2
35	433	2
36	610	2
37	86	2
38	429	2
39	902	2
40	449	2
41	317	2
42	327	2
43	460	2
44	450	2
45	447	2
46	843	2
47	448	2
48	417	2
49	87	2
50	607	2
51	533	2
52	561	2
53	421	2
54	431	2
55	11	2
56	430	2
57	452	2
58	592	1
59	393	1
60	468	1
61	538	1
62	324	1
63	903	1
64	1439	1
65	1056	1
66	672	1
67	134	1
68	898	1
69	26	1
70	897	1
71	39	1
72	579	1
73	648	1
74	951	1
75	1193	1
76	624	1
77	600	1
78	640	1
79	609	1
80	696	1
81	1	1
82	479	1
83	14	1
84	384	1
85	770	1
86	492	1
87	806	1
88	466	1
89	461	1
90	1261	1
91	675	1
92	469	1
93	12	1
94	601	1
95	940	1
96	1002	1
97	116	1
98	428	1
99	816	1
100	442	1
101	457	1
102	705	1
103	332	1
104	593	1
105	418	1
106	867	1
107	29	1
108	333	1
109	576	1
110	501	1
111	871	1
112	456	1
113	84	1
114	432	1
115	340	1
116	459	1
117	23	1
118	36	1
119	782	1
120	319	1
121	415	1
122	1870	1
123	1238	1
124	683	1
125	260	1
126	315	1
127	22	1
128	500	1
129	564	1
130	1153	1
131	307	1
132	308	1
133	399	1
134	919	1
135	1186	1
136	916	1
137	530	1
138	35	1
139	353	1
140	441	1
141	444	1
142	588	1
143	920	1
144	865	1
145	606	1
146	869	1
147	328	1
148	331	1
149	335	1
150	321	1
151	30	1
152	1550	1
153	1090	1
154	1218	1
155	863	1
156	821	1
157	323	1
