	Type	Count
0	861	69
1	825	23
2	311	13
3	437	12
4	310	9
5	436	9
6	439	8
7	312	8
8	7	7
9	3	6
10	438	6
11	9	6
12	470	5
13	474	5
14	5	5
15	8	5
16	1194	5
17	780	5
18	440	5
19	434	4
20	6	4
21	813	4
22	792	4
23	1152	4
24	2	4
25	314	4
26	608	3
27	435	3
28	430	3
29	473	3
30	454	3
31	462	3
32	309	3
33	555	3
34	4	3
35	429	2
36	316	2
37	476	2
38	455	2
39	472	2
40	450	2
41	313	2
42	816	2
43	10	2
44	801	2
45	448	2
46	431	2
47	837	2
48	417	2
49	822	2
50	452	2
51	610	2
52	501	1
53	466	1
54	885	1
55	1569	1
56	846	1
57	428	1
58	579	1
59	260	1
60	469	1
61	393	1
62	468	1
63	538	1
64	864	1
65	902	1
66	789	1
67	672	1
68	601	1
69	471	1
70	461	1
71	460	1
72	500	1
73	1656	1
74	1002	1
75	675	1
76	1450	1
77	499	1
78	798	1
79	691	1
80	609	1
81	600	1
82	22	1
83	561	1
84	1	1
85	479	1
86	14	1
87	806	1
88	1989	1
89	683	1
90	421	1
91	134	1
92	534	1
93	36	1
94	876	1
95	321	1
96	30	1
97	453	1
98	2571	1
99	594	1
100	340	1
101	308	1
102	432	1
103	821	1
104	1920	1
105	1125	1
106	593	1
107	456	1
108	29	1
109	21	1
110	920	1
111	771	1
112	570	1
113	333	1
114	11	1
115	402	1
116	446	1
117	1870	1
118	607	1
119	705	1
120	785	1
121	1158	1
122	399	1
123	408	1
124	633	1
125	35	1
126	775	1
127	441	1
128	449	1
129	323	1
