Query	Path_GraphAligner	Start_GraphAligner	End_GraphAligner
gb|AB765395|+|0-1143|ARO:3002993|AQU-1	2079546	24879	26021
gb|AE006468.2|+|1707351-1707789|ARO:3002571|AAC(6')-Iaa	118828	3687	4123
gb|AE016877.1|+|1972251-1972668|ARO:3000172|FosB	15445	311	727
gb|AF024602|+|3155-3992|ARO:3002660|APH(6)-Id	2007548	2129	2965
gb|AF118110.1|-|71-1037|ARO:3003002|CfxA2	821183	112	1077
gb|AF144880|+|3541-3979|ARO:3002569|AAC(6')-Iy	118828	3687	4123
gb|AF313472|+|15593-16397|ARO:3002639|APH(3'')-Ib	2007548	1326	2129
gb|AF472622|+|52-1018|ARO:3003003|CfxA3	821183	112	1077
gb|AF550679.1|-|80976-81768|ARO:3002601|aadA	28874510	554	1312
gb|AJ222769.3|+|3686-5606|ARO:3000194|tetW	136860	565	2484
gb|AJ276031.1|+|111-906|ARO:3004837|OXA-724	946235	10994	11788
gb|AJ548797|+|923-1688|ARO:3003094|imiH	49189	157110	157874
gb|AJ579365.1|+|4149-5628|ARO:3003111|lsaB	28670955	1201	2679
gb|AJ809407|+|118-898|ARO:3002620|aadA23	28874510	574	1312
gb|AL009126.3|-|339155-339749|ARO:3003059|tmrB	2066834	46387	46980
gb|AL009126|+|916777-919348|ARO:3003324|Bacillus_subtilis_mprF	1355660	127270	129840
gb|AL009126|-|2735681-2736536|ARO:3002627|aadK	2117722	424326	425180
gb|AM261837|+|73-865|ARO:3002619|aadA22	28874510	554	1312
gb|AP009048|-|4338624-4340268|ARO:3003576|eptA	"117799, 1321"	2702	4345
gb|AP012030.1|-|395553-396711|ARO:3004612|Escherichia_coli_ampH	4839	1	849
gb|APRY01000059.1|+|64996-65827|ARO:3001740|OXA-285	788032	1756	2586
gb|AY055428.1|-|20268-21084|ARO:3000412|sul2	48835	303	1118
gb|AY171244|+|46-838|ARO:3002618|aadA21	28874510	554	1312
gb|AY769933|+|0-966|ARO:3003005|CfxA4	821183	112	1077
gb|AY769934|+|27-993|ARO:3003096|CfxA5	821183	112	1077
gb|CP010314.1|+|275837-276758|ARO:3004541|mphK	2066834	72781	73701
gb|DQ393783|+|1799-2591|ARO:3002615|aadA15	28874510	554	1301
gb|DQ677333|+|0-780|ARO:3002621|aadA24	28874510	574	1312
gb|EU722333.1|+|1932-3852|ARO:3000196|tet32	0	0	0
gb|FN649414.1|+|2765050-2766355|ARO:3004611|Escherichia_coli_ampC1_beta-lactamase	"124798, 425724"	1360	2664
gb|GQ343019|+|132-1023|ARO:3002999|CblA-1	926037	4877	5767
gb|JX440349|+|1026-2172|ARO:3002087|CMY-74	146006	1201	2346
gb|JX440350|+|1026-2172|ARO:3002083|CMY-70	146006	1201	2346
gb|JX440351|+|1026-2172|ARO:3002096|CMY-83	146006	1201	2346
gb|KF526113|+|0-1146|ARO:3002112|CMY-100	146006	1201	2346
gb|KF526114|+|0-1146|ARO:3002113|CMY-101	146006	1201	2346
gb|KF730243.1|+|0-1143|ARO:3004647|AQU-2	2079546	24879	26021
gb|KF730244.1|+|0-1149|ARO:3004648|AQU-3	2079546	24879	26021
gb|KF992025|+|1026-2172|ARO:3002106|CMY-93	146006	1201	2346
gb|KJ207203|+|5-1151|ARO:3002095|CMY-82	146006	1201	2346
gb|KU736867.1|+|19653-21573|ARO:3004442|tet(W/N/W)	136860	565	2478
gb|L12710|+|0-549|ARO:3002556|AAC(6')-Ii	28611963	1	310
gb|L42817|+|201-936|ARO:3000522|ErmG	0	0	0
gb|M36726.1|+|295-1150|ARO:3000596|ErmX	39861	234	1088
gb|NC_000964.3|-|604735-606379|ARO:3004476|vmlR	1985911	28759	30402
gb|U00096.3|-|3203309-3204131|ARO:3002986|bacA	245906	1	557
gb|U00096.3|-|4377810-4378944|ARO:3004290|Escherichia_coli_ampC	24851	215	1348
gb|U00096.3|-|721055-721733|ARO:3003841|kdpE	75074	195	872
gb|U00096|+|2367070-2368039|ARO:3003578|pmrF	116192	1829	2797
gb|U00096|-|2098446-2099613|ARO:3003577|ugd	"827680, 120721"	523	1689
gb|U38243|+|149-1115|ARO:3003001|CfxA	821183	112	1077
gb|U60294|+|0-765|ARO:3003099|cphA2	49189	157110	157874
gb|X02340.1|+|222-1194|ARO:3004089|ANT(3'')-IIa	28874510	378	1312
gb|X06599|+|272-1193|ARO:3002877|BcI	"5333, 192084, 29951, 183584, 187400"	403	1324
