Unnamed: 0	Query	Path_Bandage	Start_Bandage	End_Bandage	Extracted_Path	Start_SPAligner	End_SPAligner	Length_SPAligner	Path_SPAligner	Path_GraphAligner	Start_GraphAligner	End_GraphAligner	BandageVSSPAligner	FinalResultsBandageVSSPAligner	SPAlignerVSGraphAligner	FinalResultsSPAlignerVSGraphAligner	BandageVSGraphAligner	ResultsBandageVSGraphAligner	FinalResultBandageVSGraphAligner
0	gb|AB023477|+|0-861|ARO:3001082|SHV-24	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
1	gb|AB049569|+|0-861|ARO:3000958|TEM-91	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
2	gb|AB200915.1|-|1831-2305|ARO:3005084|dfrA31	(8) 54829473- (481)	8	481	54829473	7	426	419	54829473	54829473	8	481	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
3	gb|AB302939|+|8-869|ARO:3001115|SHV-60	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
4	gb|AB372881|+|8-869|ARO:3001160|SHV-111	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
5	gb|AB462903|+|1199-1751|ARO:3002574|AAC(6')-Iaf	(103) 53314296+ (654)	103	654	53314296	106	599	493	53314296	53314296	103	654	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
6	gb|AB551737|+|14-875|ARO:3001177|SHV-133	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
7	gb|AB634250|+|0-825|ARO:3001484|OXA-206	(54150) 246080- (54974)	54150	54974	246080	54149	54919	770	246080	246080	54150	54974	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
8	gb|AB700703|+|161-1022|ARO:3001057|TEM-198	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
9	gb|AB733453|+|3-849|ARO:3001204|SHV-167	(17) 1612535+ (862)	17	862	1612535	16	807	791	1612535	1612535	17	862	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
10	gb|AB781687|+|0-825|ARO:3001682|OXA-254	(54150) 246080- (54974)	54150	54974	246080	54149	54919	770	246080	246080	54150	54974	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
11	gb|AB871653|+|11870-12695|ARO:3001557|OXA-371	(54150) 246080- (54974)	54150	54974	246080	54149	54919	770	246080	246080	54150	54974	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
12	gb|AE003852.1|+|1674272-1675445|ARO:3004289|Vibrio_cholerae_varG	(677) 51789923- (1849)	677	1849	51789923	676	1794	1118	51789923	51789923	677	1849	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
13	gb|AE004091.2|+|1221690-1222098|ARO:3000149|fosA	(25070) 234408+ (25477)	25070	25477	234408	25069	25422	353	234408	234408	25070	25477	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
14	gb|AE004091.2|+|3450837-3451509|ARO:3005063|cprR	(3) 226213+ (674)	3	674	226213	2	619	617	226213	226213	3	674	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
15	gb|AE004091.2|+|3451505-3452801|ARO:3005064|cprS	(671) 226213+ (1966)	671	1966	226213	670	1911	1241	226213	226213	671	2029	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	MatchOnPathAndStart	SinglePathMatch	SinglePathMatch
16	gb|AE004091.2|+|3982020-3984009|ARO:3002985|arnA	(296) 245411+ (2284)	296	2284	245411	295	2229	1934	245411	245411	296	2284	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
17	gb|AE006468.2|+|1707351-1707789|ARO:3002571|AAC(6')-Iaa	0	0	0	0	0	254	254	55192214	55192214	1	309	Different	Different	MatchOnPath	SinglePathMatch	Different	Different	Different
18	gb|AE014292|+|568280-570923|ARO:3003772|Brucella_suis_mprF	(29697) 3128843- (32339)	29697	32339	3128843	29696	32284	2588	3128843	3128843	29697	32339	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
19	gb|AE016877.1|+|1972251-1972668|ARO:3000172|FosB	"(70) 2163774+ (486) , (69) 51215479- (482)"	"70, 69"	"486, 482"	"2163774,51215479"	69	431	362	2163774	2163774	70	486	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
20	gb|AE016879.1|+|2933334-2933889|ARO:3005045|SatA	"(51) 55223072-, 247433- (521)"	51	521	"55223072, 247433"	0	466	466	247433	"55223072, 247433"	51	605	Different	Different	Different	Different	MatchOnPathAndStart	Different	Different
21	gb|AF024602|+|3155-3992|ARO:3002660|APH(6)-Id	(814) 114596+ (1650)	814	1650	114596	813	1595	782	114596	114596	814	1650	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
22	gb|AF043100|+|0-775|ARO:3001411|OXA-16	(686) 104604+ (1460)	686	1460	104604	0	0	0		0	0	0	Different	Different	Different	Different	Different	Different	Different
23	gb|AF043381|+|251-863|ARO:3002580|AAC(6')-Ib9	(19) 104606+ (632)	19	632	104606	18	577	559	104606	104606	19	632	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
24	gb|AF043381|+|943-1744|ARO:3001414|OXA-19	(660) 104604+ (1460)	660	1460	104604	659	1405	746	104604	104604	660	1460	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
25	gb|AF047171|+|135-996|ARO:3000929|TEM-60	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
26	gb|AF047479|+|1295-2087|ARO:3002603|aadA3	(11) 104600- (802)	11	802	104600	0	267	267	41790385	104600	11	802	Different	Different	Different	Different	Full	SinglePathMatch	Full
27	gb|AF062386|+|30-862|ARO:3000928|TEM-59	(47) 3478183- (877)	47	877	3478183	46	822	776	3478183	3478183	47	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
28	gb|AF072684|+|117-993|ARO:3001075|SHV-16	(17) 1612535+ (877)	17	877	1612535	16	822	806	1612535	1612535	17	877	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
29	gb|AF078527|+|3769-4303|ARO:3000230|ANT(2'')-Ia	(58) 104604+ (591)	58	591	104604	57	536	479	104604	104604	58	591	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
30	gb|AF091113|+|450-1311|ARO:3000934|TEM-67	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
31	gb|AF093512|+|197-1058|ARO:3000882|TEM-10	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
32	gb|AF104441|+|193-1054|ARO:3000922|TEM-53	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
33	gb|AF104442|+|193-1054|ARO:3000923|TEM-54	"(47) 3478183-, 50639855- (37) , (47) 3478183-, 36393793+ (37)"	"47, 47"	"37, 37"	"3478183, 50639855,3478183, 36393793"	46	852	806	3478183	3478183	47	907	Different	SinglePathMatch	MatchOnPath	SinglePathMatch	Different	SinglePathMatch	SinglePathMatch
34	gb|AF117743|+|0-780|ARO:3001077|SHV-19	(47) 1612535+ (826)	47	826	1612535	51	771	720	1612535	1612535	47	826	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
35	gb|AF117744|+|0-780|ARO:3001078|SHV-20	(47) 1612535+ (826)	47	826	1612535	51	771	720	1612535	1612535	47	826	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
36	gb|AF117745|+|0-780|ARO:3001079|SHV-21	(47) 1612535+ (826)	47	826	1612535	51	771	720	1612535	1612535	47	826	MatchOnPath	SinglePathMatch	MatchOnPath	SinglePathMatch	Full	SinglePathMatch	Full
