	Query	Path_Bandage_x	Start_Bandage_x	End_Bandage_x	Extracted_Path_x	Start_SPAligner_x	End_SPAligner_x	Path_SPAligner_x	FinalResultBandageVSSPAligner	Path_Bandage_y	Start_Bandage_y	End_Bandage_y	Extracted_Path_y	Start_GraphAligner_x	End_GraphAligner_x	Path_GraphAligner_x	FinalResultBandageVSGraphAligner	Start_SPAligner_y	End_SPAligner_y	Path_SPAligner_y	Start_GraphAligner_y	End_GraphAligner_y	Path_GraphAligner_y	SPAlignerVSGraphAligner
0	gb|AB113580|+|1329-2193|ARO:3002332|GES-3	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	93	901	864	Different	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	93	956	32422725	Different	93	901	864	93	956	32422725	Different
1	gb|AB114632|+|655-1453|ARO:3002607|aadA7	(61) 26862905- (858) , (22) 3906318-	61, 22	858, 3906318	26862905,3906318	61	803	798	Different	(61) 26862905- (858) , (22) 3906318-	61, 22	858, 3906318	26862905,3906318	61	858	26862905	Different	61	803	798	61	858	26862905	Different
2	gb|AB116260|+|1329-2193|ARO:3002333|GES-4	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	93	901	864	Different	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	93	956	32422725	Different	93	901	864	93	956	32422725	Different
3	gb|AB211124|+|0-525|ARO:3002895|SAT-1	(64) 81232484- (588)	64	588	81232484	64	533	525	Different	(64) 81232484- (588)	64	588	81232484	64	588	81232484	Full	64	533	525	64	588	81232484	Different
4	gb|AB571865.1|-|143423-144308|ARO:3003742|mphG	(353) 50056+, 2638631+, 6283287+, 5689755- (176) , (353) 50056+, 2638631+, 6283287+, 6283289+ (176) , (171) 50069+, 27413572-, 2638631+, 6283287+, 5689755- (176) , (171) 50069+, 27413572-, 2638631+, 6283287+, 6283289+ (176) , (171) 50069+, 573396+, 6283287+, 5689755- (176) , (171) 50069+, 573396+, 6283287+, 6283289+ (176)	353, 353, 171, 171, 171, 171	176, 176, 176, 176, 176, 176	50056, 2638631, 6283287, 5689755,50056, 2638631, 6283287, 6283289,50069, 27413572, 2638631, 6283287, 5689755,50069, 27413572, 2638631, 6283287, 6283289,50069, 573396, 6283287, 5689755,50069, 573396, 6283287, 6283289	353	884	885	Different	(353) 50056+, 2638631+, 6283287+, 5689755- (176) , (353) 50056+, 2638631+, 6283287+, 6283289+ (176) , (171) 50069+, 27413572-, 2638631+, 6283287+, 5689755- (176) , (171) 50069+, 27413572-, 2638631+, 6283287+, 6283289+ (176) , (171) 50069+, 573396+, 6283287+, 5689755- (176) , (171) 50069+, 573396+, 6283287+, 6283289+ (176)	353, 353, 171, 171, 171, 171	176, 176, 176, 176, 176, 176	50056, 2638631, 6283287, 5689755,50056, 2638631, 6283287, 6283289,50069, 27413572, 2638631, 6283287, 5689755,50069, 27413572, 2638631, 6283287, 6283289,50069, 573396, 6283287, 5689755,50069, 573396, 6283287, 6283289	353	1237	50056, 2638631, 6283287, 5689755	Different	353	884	885	353	1237	50056, 2638631, 6283287, 5689755	Different
5	gb|AB901141|+|0-864|ARO:3002353|GES-24	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	93	901	864	Different	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	93	956	32422725	Different	93	901	864	93	956	32422725	Different
6	gb|AF024602|+|3155-3992|ARO:3002660|APH(6)-Id	(842) 595376- (1678)	842	1678	595376	842	1623	837	Different	(842) 595376- (1678)	842	1678	595376	842	1678	595376	Full	842	1623	837	842	1678	595376	Different
7	gb|AF028812|+|392-887|ARO:3002867|dfrF	(389) 5685926- (883)	389	883	5685926	389	828	495	Different	(389) 5685926- (883)	389	883	5685926	389	883	5685926	Full	389	828	495	389	883	5685926	Different
8	gb|AF043381|+|251-863|ARO:3002580|AAC(6')-Ib9	(77) 36782492-, 3274129-, 60915537-, 2728545- (580) , (49) 25779977-, 60915537-, 2728545- (580) , (14) 24065316+, 3274129-, 60915537-, 2728545- (580)	77, 49, 14	580, 580, 580	36782492, 3274129, 60915537, 2728545,25779977, 60915537, 2728545,24065316, 3274129, 60915537, 2728545	1	525	612	Different	(77) 36782492-, 3274129-, 60915537-, 2728545- (580) , (49) 25779977-, 60915537-, 2728545- (580) , (14) 24065316+, 3274129-, 60915537-, 2728545- (580)	77, 49, 14	580, 580, 580	36782492, 3274129, 60915537, 2728545,25779977, 60915537, 2728545,24065316, 3274129, 60915537, 2728545	14	627	24065316, 3274129, 60915537, 2728545	Different	1	525	612	14	627	24065316, 3274129, 60915537, 2728545	Different
9	gb|AF043381|+|943-1744|ARO:3001414|OXA-19	(72) 32592258-, 758212-, 74766869- (55) , (72) 32592258-, 758212-, 32575361- (55) , (72) 32592252-, 26012357-, 758212-, 74766869- (55) , (72) 32592252-, 26012357-, 758212-, 32575361- (55) , (23) 31339125-, 26012357-, 758212-, 74766869- (55) , (23) 31339125-, 26012357-, 758212-, 32575361- (55)	72, 72, 72, 72, 23, 23	55, 55, 55, 55, 55, 55	32592258, 758212, 74766869,32592258, 758212, 32575361,32592252, 26012357, 758212, 74766869,32592252, 26012357, 758212, 32575361,31339125, 26012357, 758212, 74766869,31339125, 26012357, 758212, 32575361	1	626	801	Different	(72) 32592258-, 758212-, 74766869- (55) , (72) 32592258-, 758212-, 32575361- (55) , (72) 32592252-, 26012357-, 758212-, 74766869- (55) , (72) 32592252-, 26012357-, 758212-, 32575361- (55) , (23) 31339125-, 26012357-, 758212-, 74766869- (55) , (23) 31339125-, 26012357-, 758212-, 32575361- (55)	72, 72, 72, 72, 23, 23	55, 55, 55, 55, 55, 55	32592258, 758212, 74766869,32592258, 758212, 32575361,32592252, 26012357, 758212, 74766869,32592252, 26012357, 758212, 32575361,31339125, 26012357, 758212, 74766869,31339125, 26012357, 758212, 32575361	72	872	32592258, 758212	Different	1	626	801	72	872	32592258, 758212	Different
